lib32-gconf 3.2.6-2
lib32-gdk-pixbuf2 2.36.0+2+ga7c869a-1
lib32-gettext 0.19.8.1-1
lib32-giflib 5.1.4-1
lib32-glew1.10 1.10.0-2
lib32-glib2 2.50.1-2
lib32-glibc 2.24-2
lib32-glu 9.0.0-3
lib32-gmp 6.1.1-1
lib32-gnutls 3.4.15-1
lib32-gtk2 2.24.30-1
lib32-harfbuzz 1.3.1-2
lib32-icu 58.1-2
lib32-imlib2 1.4.9-1
lib32-jansson 2.9-1
lib32-js17 17.0.0-6
lib32-json-c 0.12.1-1
lib32-keyutils 1.5.9-1
lib32-krb5 1.13.7-1
lib32-lcms2 2.8-1
lib32-libappindicator-gtk2 12.10.0-9
lib32-libasyncns 0.8+3+g68cd5af-1
lib32-libcaca 0.99.beta19-1
lib32-libcanberra 0.30-4
lib32-libcap 2.25-1
lib32-libcups 2.2.1-1
lib32-libcurl-compat 7.51.0-1
lib32-libcurl-gnutls 7.51.0-1
lib32-libdatrie 0.2.10-1
lib32-libdbusmenu-glib 16.04.0-2
lib32-libdbusmenu-gtk2 16.04.0-2
lib32-libdrm 2.4.74-1
lib32-libelf 0.167-1
lib32-libffi 3.2.1-1
lib32-libgcrypt 1.7.3-1
lib32-libgcrypt15 1.5.6-4
lib32-libgpg-error 1.24-1
lib32-libgudev 230-2
lib32-libice 1.0.9-1
lib32-libid3tag 0.15.1b-1
lib32-libidn 1.33-1
lib32-libindicator-gtk2 12.10.1-6
lib32-libjpeg-turbo 1.5.1-1
lib32-libjpeg6-turbo 1.5.1-1
lib32-libldap 2.4.44-1
lib32-libltdl 2.4.6-4
lib32-libmikmod 3.3.9-1
lib32-libmng 2.0.3-1
lib32-libmodplug 0.8.8.5-6
lib32-libnl 3.2.28-1
lib32-libnm-glib 1.4.0-2
lib32-libogg 1.3.2-1
lib32-libpcap 1.8.1-1
lib32-libpciaccess 0.13.4-1
lib32-libpng 1.6.26-1
lib32-libpng12 1.2.56-4
lib32-libpulse 9.0-2
lib32-librtmp0 2.4-1
lib32-libsm 1.2.2-1
lib32-libsndfile 1.0.27-1
lib32-libssh2 1.8.0-1
lib32-libtasn1 4.9-1
lib32-libthai 0.1.25-1
lib32-libtheora 1.1.1-10
lib32-libtiff 4.0.7-1
lib32-libtiff4 3.9.7-1
lib32-libtirpc 1.0.1-1
lib32-libtxc_dxtn 1.0.1-5
lib32-libudev0-shim 1-3
lib32-libusb 1.0.21-1
lib32-libvorbis 1.3.5-1
lib32-libvpx1.3 1.3.0-1
lib32-libwebp 0.5.1-1
lib32-libwrap 7.6.24-2
lib32-libx11 1.6.4-1
lib32-libxau 1.0.8-1
lib32-libxcb 1.12-2
lib32-libxcomposite 0.4.4-2
lib32-libxcursor 1.1.14-1
lib32-libxdamage 1.1.4-2
lib32-libxdmcp 1.1.2-1
lib32-libxext 1.3.3-1
lib32-libxfixes 5.0.3-1
lib32-libxft 2.3.2-1
lib32-libxi 1.7.7-2
lib32-libxinerama 1.1.3-1
lib32-libxml2 2.9.3-1
lib32-libxmu 1.1.2-1
lib32-libxrandr 1.5.1-1
lib32-libxrender 0.9.10-1
lib32-libxshmfence 1.2-1
lib32-libxss 1.2.2-2
lib32-libxt 1.1.5-1
lib32-libxtst 1.2.3-1
lib32-libxv 1.0.11-1
lib32-libxxf86vm 1.1.4-1
lib32-llvm-libs 3.9.1-1
lib32-mesa 13.0.2-1
lib32-mesa-libgl 13.0.2-1
lib32-ncurses 6.0-2
lib32-nettle 3.3-1
lib32-nspr 4.13-1
lib32-nss 3.27.1-1
lib32-openal 1.17.2-1
lib32-openssl 1:1.0.2.j-1
lib32-p11-kit 0.23.2-1
lib32-pam 1.3.0-1
lib32-pango 1.40.3-1
lib32-pcre 8.39-1
lib32-pixman 0.34.0-1
lib32-polkit 0.113-2
lib32-qt4 4.8.7-6
lib32-readline 7.0-1
lib32-sdl 1.2.15-6
lib32-sdl2 2.0.5-2
lib32-sdl2_image 2.0.1-1
lib32-sdl2_mixer 2.0.1-1
lib32-sdl2_ttf 2.0.14-2
lib32-sdl_image 1.2.12-3
lib32-sdl_mixer 1.2.12-2
lib32-sdl_ttf 2.0.11-3
lib32-smpeg 0.4.5-2
lib32-smpeg2 2.0.0-2
lib32-sqlite 3.15.2-1
lib32-systemd 232-1
lib32-tdb 1.3.11-1
lib32-util-linux 2.28.2-1
lib32-v4l-utils 1.10.1-1
lib32-wayland 1.12.0-1
lib32-xz 5.2.2-1
lib32-zlib 1.2.8-1
libabw 0.1.1-2
libaio 0.3.110-1
libao 1.2.0-1
libappindicator-gtk2 12.10.0-12
libarchive 3.2.2-1
libart-lgpl 2.3.21-3
libass 0.13.4-1
libassuan 2.4.3-1
libasyncns 0.8+3+g68cd5af-1
libatasmart 0.19-3
libatomic_ops 7.4.4-1
libavc1394 0.5.4-2
libbluray 0.9.2-2
libbonobo 2.32.1-4
libbonoboui 2.24.5-3
libbsd 0.8.3-1
libcaca 0.99.beta19-1
libcanberra 0.30-7
libcanberra-pulse 0.30-7
libcap 2.25-1
libcap-ng 0.7.8-1
libcdaudio 0.99.12.p2-1
libcddb 1.3.2-4
libcdio 0.94-2
libcdio-paranoia 10.2+0.93+1-2
libcdr 0.1.3-2
libchamplain 0.12.14+2+ge1f6e59-1
libcmis 0.5.1-4
libcroco 0.6.11-1
libcue 2.1.0-1
libcups 2.2.1-1
libcurl-compat 7.51.0-1
libcurl-gnutls 7.51.0-1
libdaemon 0.14-3
libdatrie 0.2.10-1
libdbusmenu-glib 16.04.0-2
libdbusmenu-gtk2 16.04.0-2
libdbusmenu-qt5 0.9.3+16.04.20160218-1
libdc1394 2.2.4-1
libdca 0.0.5-4
libdmapsharing 2.9.36+1+g6b3d20e-1
libdmx 1.1.3-1
libdrm 2.4.74-1
libdv 1.0.0-6
libdvbpsi 1:1.3.0-1
libdvdcss 1.4.0-1
libdvdnav 5.0.3-1
libdvdread 5.0.4-1
libe-book 0.1.2-6
libebml 1.3.4-1
libedit 20160903_3.1-1
libelf 0.167-1
libepoxy 1.3.1-1
libetonyek 0.1.6-1
libevdev 1.5.5-1
libevent 2.0.22-2
libexif 0.6.21-2
libexttextcat 3.4.4-1
libfakekey 0.1-7
libfbclient 2.5.6.27020-2
libffi 3.2.1-2
libfontenc 1.1.3-1
libgadu 1.12.1-2
libgcrypt 1.7.5-1
libgcrypt15 1.5.6-1
libgdata 0.17.6-1
libgdm 3.22.1-1
libgee 0.18.1-1
libgepub 0.4+1+gba0bde3-1
libgexiv2 0.10.4-2
libgksu 2.0.12-7
libglade 2.6.4-5
libgme 0.6.1-1
libgnome 2.32.1-6
libgnome-data 2.32.1-6
libgnome-keyring 3.12.0-2
libgnomecanvas 2.30.3-3
libgnomekbd 3.22.0.1-1
libgnomeui 2.24.5-2
libgpg-error 1.25-1
libgrss 0.7.0+9+gf0637f8-1
libgsf 1.14.40-1
libgtop 2.34.1-1
libgudev 230-1
libgusb 0.2.9-1
libgweather 3.20.4-1
libgxps 0.2.4+12+g4709da9-1
libibus 1.5.14-1
libical 2.0.0-2
libice 1.0.9-1
libid3tag 0.15.1b-8
libidl2 0.8.14-4
libidn 1.33-1
libiec61883 1.2.0-4
libimobiledevice 1.2.0-3
libindicator-gtk2 12.10.1-7
libinput 1.5.3-1
libiptcdata 1.0.4-3
libixion 0.11.1-3
libjpeg-turbo 1.5.1-1
libjpeg6-turbo 1.5.1-1
libkate 0.4.1-5
libksba 1.3.4-2
liblangtag 0.6.2-1
libldap 2.4.44-2
liblouis 3.0.0-1
liblqr 0.4.2-1
liblrdf 0.5.0-2
libmad 0.15.1b-7
libmatroska 1.4.5-1
libmbim 1.14.0-2
libmediaart 1.9.0+8+g52eb649-1
libmikmod 3.3.9-1
libmm-glib 1.6.4-1
libmms 0.6.4-1
libmng 2.0.3-1
libmnl 1.0.4-1
libmodplug 0.8.8.5-2
libmp4v2 2.0.0-4
libmpc 1.0.3-2
libmpcdec 1:0.1+r475-1
libmpeg2 0.5.1-5
libmspub 0.1.2-6
libmtp 1.1.12-1
libmwaw 0.3.9-1
libnautilus-extension 3.22.2-1
libndp 1.6-1
libnewt 0.52.19-1
libnftnl 1.0.7-1
libnice 0.1.13-1
libnl 3.2.28-1
libnm-glib 1.4.4-1
libnotify 0.7.7-1
liboauth 1.0.3+9+g11e9461-1
libodfgen 0.1.6-1
libofa 0.9.3-6
libogg 1.3.2-1
libomxil-bellagio 0.9.3-1
liborcus 0.11.2-3
libosinfo 1.0.0-1
libpagemaker 0.0.3-1
libpaper 1.1.24-10
libpcap 1.8.1-2
libpciaccess 0.13.4-1
libpeas 1.20.0-1
libpgm 5.2.122-2
libphonenumber 7.7.4-2
libpipeline 1.4.1-1
libplist 1.12-4
libpng 1.6.27-1
libpng12 1.2.56-4
libproxy 0.4.13-1
libpsl 0.16.1-1
libpulse 9.0-1
libpurple 2.11.0-1
libpwquality 1.3.0-1
libqmi 1.16.2-1
libquvi 0.9.4-4
libquvi-scripts 0.9.20131130-3
libraw 0.17.2-3
libraw1394 2.1.2-1
libreoffice-fresh 5.2.4-1
libreoffice-fresh-pt-BR 5.2.4-1
librevenge 0.0.4-1
librsvg 2:2.40.16-1
librtmp0 2.4-1
libsamplerate 0.1.9-1
libsasl 2.1.26-8
libseccomp 2.3.1-1
libsecret 0.18.5-1
libshout 1:2.4.1-2
libsidplay 1.36.59-8
libsigc++ 2.10.0-1
libsm 1.2.2-2
libsndfile 1.0.27-1
libsodium 1.0.11-1
libsoup 2.56.0-1
libsoxr 0.1.2-1
libspectre 0.2.8-1
libspiro 1:0.5.20150702-1
libsrtp 1:1.5.4-1
libssh 0.7.3-2
libssh2 1.8.0-1
libstemmer 0+337-2
libsystemd 232-6
libtar 1.2.20-2
libtasn1 4.9-2
libteam 1.23-1
libthai 0.1.25-1
libtheora 1.1.1-3
libtiff 4.0.7-2
libtiff4 3.9.7-1
libtiger 0.3.4-4
libtirpc 1.0.1-2
libtool 2.4.6-6
libtracker-sparql 1.10.3-1
libtxc_dxtn 1.0.1-6
libudev0-shim 1-2
libunistring 0.9.7-1
libunwind 1.1-3
libupnp 1.6.20-1
libusb 1.0.21-1
libusbmuxd 1.0.10-1
libutempter 1.1.6-2
libutil-linux 2.28.2-2
libuv 1.10.1-1
libva 1.7.3-1
libva-intel-driver 1.7.3-1
libvdpau 1.1.1-2
libvisio 0.1.5-3
libvisual 0.4.0-6
libvoikko 4.0.2-1
libvorbis 1.3.5-1
libvpx 1.6.0-2
libvpx1.3 1.3.0-1
libwacom 0.22-1
libwbclient 4.5.3-1
libwebp 0.5.1-1
libwnck3 3.20.1-1
libwpd 0.10.1-1
libwpg 0.3.1-1
libwps 0.4.4-1
libwrap 7.6.24-3
libx11 1.6.4-1
libx264 2:148.20160920-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.12-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfixes 5.0.3-1
libxfont 1.5.2-1
libxft 2.3.2-1
libxi 1.7.8-1
libxinerama 1.1.3-2
libxkbcommon 0.7.0-1
libxkbcommon-x11 0.7.0-1
libxkbfile 1.0.9-1
libxklavier 5.4-1
libxml2 2.9.4+12+ge905f08-2
libxmu 1.1.2-1
libxpm 3.5.12-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxres 1.0.7-1
libxshmfence 1.2-1
libxslt 1.1.29+23+geb1030d-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86dga 1.1.4-1
libxxf86misc 1.0.3-2
libxxf86vm 1.1.4-1
libzapojit 0.0.3+11+g840627d-1
libzip 1.1.3-1
licenses 20140629-1
light-locker 1.6.0-3
light-locker-settings 1.5.2-3
lightdm 1:1.18.3-1
lightdm-webkit2-greeter 2.2.1-1
linux 4.8.13-1
linux-api-headers 4.7-1
linux-firmware 20161005.9c71af9-1
linux-lts 4.4.39-1
llvm-libs 3.9.1-1
logrotate 3.11.0-1
lpsolve 5.5.2.5-1
lua 5.3.3-2
lua52 5.2.4-2
lua52-bitop 1.0.2-7
lua52-expat 1.3.0-3
lua52-lpeg 1.0.0-1
lua52-luajson 1.3.3-2
lua52-socket 20160311-1
lvm2 2.02.168-1
lz4 1:1.7.4.2-1
lzo 2.09-1
m4 1.4.17-2
make 4.2.1-1
man-db 2.7.6.1-2
man-pages 4.09-1
mdadm 3.4-1
media-player-info 22-2
mesa 13.0.2-2
mesa-demos 8.3.0-2
mesa-libgl 13.0.2-2
mesa-vdpau 13.0.2-2
mime-types 9-1
minizip 1:1.2.8-7
mjpegtools 2.1.0-3
mkinitcpio 22-1
mkinitcpio-busybox 1.25.1-1
mlt 6.4.1-2
mobile-broadband-provider-info 20151214-1
mod_dnssd 0.6-6
modemmanager 1.6.4-1
mozilla-common 1.4-4
mpfr 3.1.5-1
mpg123 1.23.8-1
mtdev 1.1.5-1
musicbrainz 2.1.5-7
mutter 3.22.2+6+g06f5b6b3e-1
nano 2.7.2-1
nautilus 3.22.2-1
nautilus-sendto 3.8.4-2
nautilus-share 0.7.3-7
ncurses 6.0+20161224-1
neon 0.30.2-1
net-snmp 5.7.3-3
net-tools 1.60.20160710git-1
netcdf 4.4.1-2
netctl 1.12-2
nettle 3.3-1
network-manager-applet 1.4.2-1
networkmanager 1.4.4-1
networkmanager-openvpn 1.2.6-1
networkmanager-pptp 1.2.4-1
nfs-utils 1.3.4-1
nfsidmap 0.26-1
nilfs-utils 2.2.6-1
nm-connection-editor 1.4.2-1
npth 1.3-1
nspr 4.13.1-1
nss 3.27.2-1
ntfs-3g 2016.2.22-1
numix-frost-themes 3.6.6-1
numix-icon-theme 1:0.r1890-1
numix-icon-theme-square 1:0.r83_8-1
nwjs-sdk 0.19.3-1
ocl-icd 2.2.10-1
openal 1.17.2-2
opencore-amr 0.1.3-2
openjpeg 1.5.2-1
openjpeg2 2.1.2-2
openresolv 3.8.1-1
openssh 7.4p1-1
openssl 1.0.2.j-1
openvpn 2.4.0-2
opera 42.0.2393.94-1
opus 1.1.3-2
orbit2 2.14.19-3
orc 0.4.26-1
orca 3.22.2-1
os-prober 1.71-1
osinfo-db 20161026-1
p11-kit 0.23.2-1
p7zip 16.02-2
package-query 1.8.r380-2
pacman 5.0.1-4
pacman-mirrorlist 20161214-1
pam 1.3.0-1
pamac 4.1.6-2
pambase 20130928-1
pango 1.40.3-1
pangomm 2.40.1-1
parted 3.2-5
patch 2.7.5-1
pavucontrol 3.0-4
pciutils 3.5.2-1
pcmciautils 018-7
pcre 8.39-2
pcre2 10.22-2
pepper-flash 1:24.0.0.186-1
perl 5.24.0-2
perl-clone 0.38-2
perl-dbi 1.636-2
perl-encode-locale 1.05-1
perl-error 0.17024-1
perl-file-basedir 0.07-1
perl-file-listing 6.04-2
perl-html-parser 3.72-2
perl-html-tagset 3.20-4
perl-http-cookies 6.01-2
perl-http-daemon 6.01-2
perl-http-date 6.02-2
perl-http-message 6.11-2
perl-http-negotiate 6.01-2
perl-io-html 1.001-1
perl-ipc-system-simple 1.25-1
perl-libwww 6.15-1
perl-lwp-mediatypes 6.02-2
perl-net-http 6.09-1
perl-parse-yapp 1.05-6
perl-uri 1.71-1
perl-www-robotrules 6.02-2
perl-xml-libxml 2.0128-1
perl-xml-namespacesupport 1.11-3
perl-xml-sax 0.99-4
perl-xml-sax-base 1.08-3
phonon-qt5 4.9.0-1
phonon-qt5-gstreamer 4.9.0-1
pidgin 2.11.0-1
pinentry 1.0.0-1
pixman 0.34.0-1
pkcs11-helper 1.11-3
pkg-config 0.29.1-2
pkgfile 15-1
playonlinux 4.2.10-1
polkit 0.113-4
polkit-qt5 0.112.0+git20160226-1
popcorntime-bin 0.3.10-1
poppler 0.50.0-1
poppler-glib 0.50.0-1
poppler-qt5 0.50.0-1
popt 1.16-8
portaudio 190600_20161030-1
ppp 2.4.7-2
pptpclient 1.8.0-2
procps-ng 3.3.12-1
protobuf 3.0.2-2
protobuf-c 1.2.1-3
psmisc 22.21-3
pulseaudio 9.0-1
pulseaudio-alsa 2-3
pygobject-devel 3.22.0-1
python 3.5.2-3
python-appdirs 1.4.0-4
python-atspi 2.20.2-1
python-cairo 1.10.0-6
python-chardet 2.3.0-2
python-dbus 1.2.4-1
python-dbus-common 1.2.4-1
python-gobject 3.22.0-1
python-packaging 16.8-1
python-psutil 5.0.1-1
python-pycups 1.9.73-2
python-pycurl 7.43.0-1
python-pyparsing 2.1.10-1
python-pysmbc 1.0.15.6-1
